ID	名字	门派	功夫名称	动画名称	Prefab名称
801	逍遥子	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
802	仙童	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
803	玄女	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
804	逍遥弟子高轩辕|逍遥弟子齐惊鸿|逍遥弟子祝游龙|逍遥弟子柏玄鹤|逍遥弟子苏白夔	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
805	逍遥弟子叶星河|逍遥弟子欧阳春秋|逍遥弟子姜青衣|逍遥弟子韦幻真|逍遥弟子赵翠羽	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
806	逍遥弟子朱厌|逍遥弟子帝江|逍遥弟子白泽|逍遥弟子毕方|逍遥弟子穷奇	Xiaoyao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
9601	熊	Beast	熊攻击	bear_attack	BearPrefab
9602	野猪	Beast	野猪攻击	pig_attack	BoarPrefab
9603	鹿	Beast	鹿攻击	deer_attack	DeerPrefab
9604	蛇	Beast	蛇攻击	snake_attack	SnakePrefab
9605	狼	Beast	狼攻击	wolf_attack	WolfPrefab
9701	座山雕|云中雁|金钱豹|双头蛇|林中虎	Shanzei	山大王攻击1;山大王攻击2	shanzeiBoss_attack_1;shanzeiBoss_attack_2	ShanzeiBoss
9702	山贼喽啰	Shanzei	山贼攻击1;山贼攻击2	shanzei_attack_1;shanzei_attack_2	Shanzei1
9703	山贼喽啰	Shanzei	山贼攻击1;山贼攻击2	shanzei_attack_1;shanzei_attack_2	Shanzei2
9804	刺客草上飞|刺客小旋风|刺客鼓上蚤	Cike	刺客攻击1;刺客攻击2	cike_attack_1;cike_attack_2	Cike1
9901	倭寇半藏|倭寇佐助|倭寇一郎|倭寇小五郎|倭寇龙马	Wokou	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Wokou1
9902	倭寇花屋|倭寇坂东|倭寇朱吉|倭寇耕二|倭寇小次郎	Wokou	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Wokou2
9903	倭寇以藏|倭寇新兵卫|倭寇半次郎|倭寇彦斋|倭寇武藏	Wokou	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Wokou3
