ID	GuideID	Trigger	Command	CommonParam	RequireStepId	KeyFrame
13402	34	SignInSystem_ClickSignBtnTrigger	NormalTipsCommand:StoryPanel_Text_78,11|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:MainMenuPanel,SignInBtn	0	
13403	34	SignInSystem_ClickSignReceiveBtnTrigger	NormalTipsCommand:StoryPanel_Text_79,11|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:SignInPanel,SignPanel_BG/AcceptBtn	0	
13601	36	SignInSystem_FinishedTrigger	DialogCommand:StoryPanel_Text_80;MyDelayCommand:0.3;		0	1
12001	20	WarehouseDialogTrigger	DialogCommand:StoryPanel_Text_30;MyDelayCommand:0.4;		0	
12002	20	BuildFacility_WarehouseTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_8;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/WarehouseView	0	
12003	20	BuildFacilityPanel_WarehouseTrigger	NormalTipsCommand:StoryPanel_Text_19,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:ConstructionFacilitiesPanel,Bg/AcceptBtn	0	1
11901	19	VisitotBtnNormalTipTrigger	DialogCommand:StoryPanel_Text_41;MyDelayCommand:0.4;		0	
11902	19	ClickVisitorBtnTrigger	NormalTipsCommand:StoryPanel_Text_42,11|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:MainMenuPanel,VisitorsList/VisitorsBtn/Button	0	1
12101	21	BuildBaicaohuTrigger	DialogCommand:StoryPanel_Text_31;MyDelayCommand:0.2;		0	
12201	22	BuildPracticeFieldTrigger	DialogCommand:StoryPanel_Text_32;MyDelayCommand:0.2;		0	
12301	23	BuildKungfuLibraryTrigger	DialogCommand:StoryPanel_Text_33;MyDelayCommand:0.2;		0	
12401	24	BuildForgehouseTrigger	DialogCommand:StoryPanel_Text_34;MyDelayCommand:0.2;		0	
12501	25	FoodBuffTrigger	DialogCommand:StoryPanel_Text_35;MyDelayCommand:0.2;		0	
12601	26	CollectSystemTrigger	DialogCommand:StoryPanel_Text_36;MyDelayCommand:0.2;		0	
12602	26	CollectSystem_ClickLotusrootTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_59;MyDelayCommand:0.4;	EntityRoot/SimSection/CollectItem/LotusRoot/Bubble	0	1
12701	27	KungFuTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_44;MyDelayCommand:0.2;		0	
12702	27	KungFuTrigger_ClickOpenDisciplePanelTrigger	NormalTipsCommand:StoryPanel_Text_60,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:MainMenuPanel,MenuList/DiscipleBtn	0	
12703	27	KungFuTrigger_ChoiceTargetDiscipleTrigger	NormalTipsCommand:StoryPanel_Text_61,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:DisciplePanel,Bg/Right/Scroll View/Viewport/DiscipleList/Disciple(Clone)	0	
12704	27	KungFuTrigger_ClickStudyKungFuTrigger	NormalTipsCommand:StoryPanel_Text_62,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:DicipleDetailsPanel,Bg/UpperMiddle/KungfuTra/KungfuPanelItem(Clone)	0	
12705	27	KungFuTrigger_ChoiceKungFuTrigger	NormalTipsCommand:StoryPanel_Text_64,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:LearnKungfuPanel,Bg/Image/Scroll View/Viewport/KungfuLearningList/LearnKungfuItem(Clone)	0	
12706	27	KungFuTrigger_ConfirmChoiceKungFuTrigger	NormalTipsCommand:StoryPanel_Text_63,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:LearnKungfuPanel,Bg/Image/Scroll View/Viewport/Arrange	0	1
12801	28	ArmsTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_47;MyDelayCommand:0.2;		0	
12802	28	ArmsTrigger_ClickOpenDisciplePanelTrigger	NormalTipsCommand:StoryPanel_Text_60,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:MainMenuPanel,MenuList/DiscipleBtn	0	
12803	28	ArmsTrigger_ChoiceTargetDiscipleTrigger	NormalTipsCommand:StoryPanel_Text_61,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:DisciplePanel,Bg/Right/Scroll View/Viewport/DiscipleList/Disciple(Clone)	0	
12804	28	ArmsTrigger_ClickArmsBtnTrigger	NormalTipsCommand:StoryPanel_Text_67,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:DicipleDetailsPanel,Bg/RightLowerMiddle/ArmsBg	0	
12805	28	ArmsTrigger_ChoiceArmsTrigger	NormalTipsCommand:StoryPanel_Text_65,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:WearableLearningPanel,Bg/Scroll View/Viewport/WearableLearningList/WearableLearningItem(Clone)	0	
12806	28	ArmsTrigger_ConfirmChoiceArmsTrigger	NormalTipsCommand:StoryPanel_Text_66,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:WearableLearningPanel,Bg/Scroll View/Viewport/Arrange	0	1
12901	29	ChallengeSystemTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_48;MyDelayCommand:0.2;		0	
12902	29	ChallengeSystemTrigger_ClickChallengeBtnTrigger1	NormalTipsCommand:ClickChallenge,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:MainMenuPanel,MenuList/ChallengeBtn	0	
12903	29	ChallengeSystemTrigger_ChoiceChallengeObjTrigger	NormalTipsCommand:StoryPanel_Text_49,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:ChallengePanel,Bottom/Scroll View/Viewport/ChallengeList/ChallengeTaskItem(Clone)/Right/ChallengeBtn	0	
12904	29	ChallengeSystemTrigger_ChoiceChallengeLevelTrigger	NormalTipsCommand:StoryPanel_Text_39,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:ChallengeBattlePanel,GaibangPanel(Clone)/Scroll View/Viewport/CheckpointTra/Bg/ChallengeBtn/NormalState	0	
12905	29	ChallengeSystemTrigger_ClickAcceptChallengeBtnTrigger	NormalTipsCommand:StoryPanel_Text_50,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:IdentifyChallengesPanel,Bg/ChallengesBtn	0	
12906	29	ChallengeSystemTrigger_ClickAKeyChoiceTrigger	NormalTipsCommand:StoryPanel_Text_51,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:SendDisciplesPanel,Bg/Down/AutoSelectedBtn	0	
12907	29	ChallengeSystemTrigger_ClickStartChallengeTrigger	NormalTipsCommand:StoryPanel_Text_52,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:SendDisciplesPanel,Bg/Down/AcceptBtn	0	1
13101	31	DiscipleAutoWorkTrigger	DialogCommand:StoryPanel_Text_56;MyDelayCommand:0.4;		0	
13102	31	ClickTaskDetailsTrigger1	DialogWithCircleMaskCommand:#0,StoryPanel_Text_40;MyDelayCommand:0.4;	EntityRoot/Character_normal_1/WorkProgressBar	0	1
13201	32	FoodNotEnoughTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_68;MyDelayCommand:0.4;		0	
13202	32	FoodNotEnoughTrigger_ClickFoodBtnBrigger	NormalTipsCommand:StoryPanel_Text_69,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:MainMenuPanel,Baozi/CreateBaoziBtn	0	1
13801	38	DeliverTrigger_BuildTrigger	DialogCommand:StoryPanel_Text_83;MyDelayCommand:0.2;		0	
13802	38	DeliverTrigger_ClickDeliverTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_84;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/DeliverView	0	
13803	38	DeliverTrigger_ClickQuickStartBtnTrigger	NormalTipsCommand:StoryPanel_Text_85,38|-8;GuideButtonCommand:#0,0;MyDelayCommand:0.3;	UINodeFinder:DeliverPanel,Scroll View/Viewport/Down/DeliverItem(Clone)/GameObject (1)/StateStart/Btn_	0	1
13901	39	DeliverTrigger_ClickDoubleSpeedUpBtnTrigger	NormalTipsCommand:StoryPanel_Text_86,38|-8;GuideButtonCommand:#0,0;MyDelayCommand:0.3;	UINodeFinder:DeliverPanel,Scroll View/Viewport/Down/DeliverItem(Clone)/GameObject (1)/StateStarting/Btn_	0	
14001	40	TowerTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_87,StoryPanel_Text_88;MyDelayCommand:0.2;		0	
14002	40	TowerTrigger_ClickTowerBtnTrigger	NormalTipsCommand:StoryPanel_Text_89,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:MainMenuPanel,MenuList/VoldemortTowerBtn	0	
14003	40	TowerTrigger_IntroduceTrigger2	DialogCommand:StoryPanel_Text_90,StoryPanel_Text_91;MyDelayCommand:0.2;		0	
14004	40	TowerTrigger_ClickChallengeBtnTrigger	NormalTipsCommand:StoryPanel_Text_95,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:TowerPanel,Main/Scroll View/Viewport/Content/TowerLevelItem1/Root_Unlock/Btn_Fight	0	
14005	40	TowerTrigger_ClickAKeyChoiceBtnTrigger	NormalTipsCommand:StoryPanel_Text_92,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:SendDisciplesPanel,Bg/Down/AutoSelectedBtn	0	
14006	40	TowerTrigger_ClickStartFightBtnTrigger	NormalTipsCommand:StoryPanel_Text_93,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:SendDisciplesPanel,Bg/Down/AcceptBtn	0	1
14101	41	TowerTrigger_FightFinishedClickShopBtnTrigger	NormalTipsCommand:StoryPanel_Text_94,132|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:TowerPanel,Btn_Shop	0	
14201	42	HeroTrialSystemTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_96;MyDelayCommand:0.2;		0	
14202	42	HeroTrialSystemTrigger_ClickTrialBtnTrigger	NormalTipsCommand:StoryPanel_Text_97,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:MainMenuPanel,MenuList/HeroTrialBtn	0	
14203	42	HeroTrialSystemTrigger_IntroduceTrigger2	DialogCommand:StoryPanel_Text_98;MyDelayCommand:0.2;		0	
14204	42	HeroTrialSystemTrigger_ClickStartBtnTrigger	NormalTipsCommand:StoryPanel_Text_99,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:HeroTrialTipPanel,Bg/Btn_Goto	0	
14205	42	HeroTrialSystemTrigger_ClickChoiceDiscipleTrigger	NormalTipsCommand:StoryPanel_Text_100,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:HeroTrialPanel,Middle/Btn_SelectCharacter	0	
14206	42	HeroTrialSystemTrigger_ChoiceDiscipleBtnTrigger	NormalTipsCommand:StoryPanel_Text_100,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:HeroTrialChooseDisciplePanel,Bottom/Scroll View/Viewport/Cont/ChallengePanelDisciple(Clone)	0	
14207	42	HeroTrialSystemTrigger_ClickEnterTrialBtnTrigger	NormalTipsCommand:StoryPanel_Text_101,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:HeroTrialChooseDisciplePanel,ConfirmBtn	0	1
14301	43	HeroTrialSystemTrigger_ClickTrialFinishedTrigger	NormalTipsCommand:StoryPanel_Text_102,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:HeroTrialPanel,Middle/Btn_Finish	0	
14302	43	HeroTrialSystemTrigger_DiscipleUpgradSuccessTrigger	DialogCommand:StoryPanel_Text_103;MyDelayCommand:0.2;		0	
