章节ID	章节名称ID	章节剧情ID	角标功能ID	奖励	拍照背景	解锁关卡ID
1019	2-12	1201201;1201202;1201203;1201204;1201205;1201206;1201207;1201208;1201209	0	Currency,Coin,100		45
1020	2-13	1201301;1201302;1201303;1201304;1201305;1201306;1201307;1201308;1201309;1201310	0	Prop,Bottle_b,1		48
1021	2-14	1201401;1201402;1201403;1201404;1201405;1201406;1201407;1201408;1201409;1201410	2	Clothes,11001,1;Clothes,11003,1;Clothes,11004,1;Clothes,11005,1		51
1022	2-15	1201501;1201502;1201503;1201504;1201505;1201506;1201507;1201508;1201509;1201510;1201511;1201512;1201513;1201514;1201515;1201516;1201517;1201518;1201519	1		GameBG_Street	55
1023	3-1	1300101;1300102;1300103;1300104;1300105;1300106;1300107;1300108	0	Prop,Umbrella,1		60
1024	3-2	1300201;1300202;1300203;1300204;1300205;1300206	0	Currency,Coin,100		65
1025	3-3	1300301;1300302;1300303;1300304;1300305;1300306	0	Prop,Bottle_s,1		70
1026	3-4	1300401;1300402;1300403;1300404;1300405	2	Clothes,10401,1;Clothes,10402,1;Clothes,10404,1		75
1027	3-5	1300501;1300502;1300503;1300504;1300505;1300506;1300507;1300508;1300509;1300510	0	Currency,Coin,100		80
1028	3-6	1300601;1300602;1300603;1300604;1300605;1300606;1300607	2	Clothes,10901,1;Clothes,10903,1;Clothes,10904,1;Clothes,10905,1		85
1029	3-7	1300701;1300702;1300703;1300704;1300705;1300706;1300707;1300708;1300709	0	Prop,Bottle_b,1		90
1030	3-8	1300801;1300802;1300803;1300804;1300805;1300806;1300807;1300808;1300809;1300810	2	Clothes,10701,1;Clothes,10702,1;Clothes,10705,1;Clothes,10706,1		95
1031	3-9	1300901;1300902;1300903;1300904;1300905;1300906;1300907;1300908;1300909;1300910;1300911;1300912;1300913;1300914;1300915	1		GameBG_Beach	100
1032	4-1	1400101;1400102;1400103;1400104;1400105;1400106;1400107;1400108;1400109;1400110;1400111	0	Prop,Umbrella,1		107
1033	4-2	1400201;1400202;1400203;1400204;1400205;1400206;1400207;1400208;1400209	0	Currency,Coin,100		114
1034	4-3	1400301;1400302;1400303;1400304;1400305;1400306;1400307;1400308;1400309	2	Clothes,10201,1;Clothes,10203,1;Clothes,10204,1;Clothes,10205,1		121
1035	4-4	1400401;1400402;1400403;1400404;1400405;1400406;1400407;1400408;1400409;1400410;1400411;1400412	0	Prop,Bottle_s,1		128
1036	4-5	1400501;1400502;1400503;1400504;1400505;1400506;1400507;1400508;1400509;1400510	2	Clothes,12501,1;Clothes,12502,1;Clothes,12504,1;Clothes,12505,1;Clothes,12506,1;Clothes,12507,1;		135
1037	4-6	1400601;1400602;1400603;1400604;1400605;1400606;1400607	1		GameBG_Stage	142
1038	4-7	1400701;1400702;1400703;1400704;1400705;1400706;1400707;1400708;1400709;1400710	0	Prop,Bottle_b,1		149
1039	4-8	1400801;1400802;1400803;1400804;1400805;1400806;1400807;1400808;1400809;1400810;1400811;1400812;1400813;1400814	0	Currency,Coin,100		155
1040	5-1	1500101;1500102;1500103;1500104;1500105;1500106	0	Currency,Coin,100		163
1041	5-2	1500201;1500202;1500203;1500204;1500205;1500206;1500207;1500208;1500209;1500210;1500211	2	Clothes,12101,1;Clothes,12102,1;Clothes,12104,1;Clothes,12105,1		170
1042	5-3	1500301;1500302;1500303;1500304;1500305;1500306;1500307;1500308;1500309;1500310;1500311;1500312;1500313;1500314;1500315;1500316;1500317	0	Prop,Umbrella,1		177
1043	5-4	1500401;1500402;1500403;1500404;1500405;1500406;1500407	2	Clothes,11601,1		184
1044	5-5	1500501;1500502;1500503;1500504;1500505;1500506;1500507;1500508;1500509;1500510;1500511;1500512;1500513	0	Prop,Bottle_s,1		191
1045	5-6	1500601;1500602;1500603;1500604;1500605;1500606;1500607;1500608;1500609;1500610;1500611;1500612;1500613;1500614	0	Currency,Coin,100		198
1046	5-7	1500701;1500702;1500703;1500704;1500705;1500706;1500707;1500708;1500709;1500710;1500711;1500712;1500713;1500714;1500715;1500716;1500717;1500718;1500719;1500720;1500721	0	Prop,Bottle_b,1		205
1047	5-8	1500801;1500802;1500803;1500804;1500805;1500806	2	Clothes,12701,1;Clothes,12703,1;Clothes,12704,1		212
1048	5-9	1500901;1500902;1500903;1500904;1500905;1500906;1500907;1500908;1500909	0	Currency,Coin,100		219
1049	5-10	1501001;1501002;1501003;1501004;1501005;1501006	1		GameBG_Desertcity	225
1050	6-1	1600101;1600102;1600103;1600104;1600105;1600106;1600107;1600108;1600109;1600110	0	Prop,Bottle_s,1		233
1051	6-2	1600201;1600202;1600203;1600204;1600205;1600206;1600207;1600208;1600209;1600210;1600211;1600212;1600213;1600214;1600215	2	Clothes,12201,1;Clothes,12203,1		240
1052	6-3	1600301;1600302;1600303;1600304;1600305;1600306;1600307;1600308;1600309;1600310;1600311	0	Currency,Coin,100		247
1053	6-4	1600401;1600402;1600403;1600404;1600405;1600406;1600407;1600408;1600409;1600410;1600411;1600412;1600413	2	Clothes,11302,1;Clothes,11303,1;Clothes,11304,1;Clothes,11305,1;Clothes,11306,1		254
1054	6-5	1600501;1600502;1600503;1600504;1600505;1600506;1600507;1600508;1600509;1600510;1600511;1600512;1600513;1600514;1600515;1600516	1		GameBG_Maple	260
1055	7-1	1700101;1700102;1700103;1700104;1700105;1700106;1700107	2	Clothes,12301,1;Clothes,12303,1;Clothes,12304,1;Clothes,12305,1		268
1056	7-2	1700201;1700202;1700203;1700204;1700205;1700206;1700207;1700208;1700209;1700210;1700211;1700212	0	Prop,Bottle_b,1		275
1057	7-3	1700301;1700302;1700303;1700304;1700305;1700306;1700307;1700308;1700309;1700310	0	Currency,Coin,100		282
1058	7-4	1700401;1700402;1700403;1700404;1700405;1700406;1700407;1700408;1700409;1700410;1700411;1700412	2	Clothes,12401,1;Clothes,12403,1;Clothes,12404,1		289
1059	7-5	1700501;1700502;1700503;1700504;1700505;1700506;1700507;1700508;1700509;1700510	1		GameBG_Lite	300
