ID	动画名称	攻击距离	攻击延时	脚步特效	释放特效	受击特效	特效时长	攻击声音
3001	rulaishenzhang	2	0.8		RuLaiShenZhang_Muzzle_Left|RuLaiShenZhang_Muzzle_Right	RuLaiShenZhang_bullet_Left|RuLaiShenZhang_bullet_Right	2.74	
3002	xianglongzhang	2	2		XiangLongShiBaZhang_Muzzle	XiangLongShiBaZhang_Hit_Left|XiangLongShiBaZhang_Hit_Right	3.05	
3003	liumaishenjian	2;2;2;2;2;2;2	1		LiuMaiShenJian_Muzzle	LiuMaiShenJian_BulletHit_Left|LiuMaiShenJian_BulletHit_Right	1.8	
3004	dugujiujian	1;1;0	1;1.69;2.65	DuGuJiuJian_DragSmoke	DuGuJiuJian_Left|DuGuJiuJian_Right	Hit_Light_Left|Hit_Light_Right	3	
3005	lingboweibu					Hit_Light_Left|Hit_Light_Right		
3006	bahuangliuhe	2;2;2	2.2000000000000002		BaHuangLiuHeE	BaHuangLiuHe_Hit_Left|BaHuangLiuHe_Hit_Right		
3007	tiancanjiao	2;2;2;2	0.2	TianCanJiao_Smoke		TianCanJiao_Bullets_Left|TianCanJiao_Bullets_Right	1.5	
3008	tianshanzhemeishou	0.5;0.5;0.5	1.1;1.5;1.6			Hit_Light_Left|Hit_Light_Right		
3009	yijinjing	0.5;0.5;1;2	1.3		YiJinJing_Pre_Left|YiJinJing_Pre_Right	YiJinJing_Hit_Left|YiJinJing_Hit_Right	2.1	
4001	dagoubangfa	1.5;1.1;1.4	0.9;1.3;1.8		DaGouBangFa_Left|DaGouBangFa_Right	DaGouBangFa_Hit_Left|DaGouBangFa_Hit_Right	1.75	
4002	diaoyugunfa	2.1;2.2	0.39;1.56		DiaoYuGunFa_Left|DiaoYuGunFa_Right	DiaoYuGunFa_Hit_Left|DiaoYuGunFa_Hit_Right	3	
4003	luohanfumoquan	1;1	0.7;1.15		LuoHanFuMoQuan_Left|LuoHanFuMoQuan_Right		2.2000000000000002	
4004	qianshouzhang	1;1;1;1;1;1;1	1			QianShouZhang_Hit_Right|QianShouZhang_Hit_Left	1.4	
4005	taijijianfa	0.8;2	0					
4006	taijiquan	0.8;0.6;0.6;1.1	0					
4007	qingnianshennvjian	2	2.1800000000000002		QingLianJianFa_Left|QingLianJianFa_Right	QingLianJianFa_Hit_Left|QingLianJianFa_Hit_Right	2.91	
4008	baimangbian	2	2.5		BaiMangBian_Left|BaiMangBian_Right	BaiMangBian_Hit_Left|BaiMangBian_Hit_Right	1.1499999999999999	
4009	huashanjian	1;1.2;1;-1;4	0.46;1.15;2.04;3.17		HuaShanJian_Left|HuaShanJian_Right	HuaShanJian_Hit_Left|HuaShanJian_Hit_Right	4.2	
4010	bianfa	1.5;1.5;2	0					
4011	qianzhuwandushou	0.8;0.6;1.1;1.4	0					
4012	modao	1.5;2;2.1;2.6	1;1.4;1.6;2.8	MoJiaoDaoFa1_DragSmoke	MoJiaoDaoFa1_Left|MoJiaoDaoFa1_Right		2.17	
4013	modaoyishan	1.2;1.7;2.3;2.5	0.8;1.12;1.6;1.9	MoJiaoDaoFa2_DragSmoke	MoJiaoDaoFa2_Left|MoJiaoDaoFa2_Right		1.44	
4014	bodongquan	2	1.25		BoDongQuan_Left|BoDongQuan_Right	BoDongQuan_Hit_Left|BoDongQuan_Hit_Right	2.33	
4015	yeluoxinghejian	2	2.6		YeLuoXingHeJian_Right|YeLuoXingHeJian_Left	YeLuoXingHeJian_Hit_Left|YeLuoXingHeJian_Hit_Right	3.69	
4016	shanzei_attack_1	1	0					
4017	shanzei_attack_2	0.7	0					
4018	shanzeiBoss_attack_1	0.9	0					
4019	shanzeiBoss_attack_2	1.6;2.5;2.5	0					
4020	bear_attack	1	0.4			Hit_Light_Left|Hit_Light_Right		
4021	boar_attack	0.8	0.4			Hit_Light_Left|Hit_Light_Right		
4022	deer_attack	1	0.4			Hit_Light_Left|Hit_Light_Right		
4023	snake_attack	0.5	0.4			Hit_Light_Left|Hit_Light_Right		
4024	wolf_attack	1	0.4			Hit_Light_Left|Hit_Light_Right		
4025	cike_attack_1	0.5;1.1;1	0					
4026	cike_attack_2	1;1.5	0					
4027	yujianshu_huashan	2	0.7		YuJianShu_Muzzle_Left|YuJianShu_Muzzle_Right	YuJianShu_Hit_Left|YuJianShu_Hit_Right	3.3	
4028	wk_attack_1	2	0.37		YiDaoQie_Left|YiDaoQie_Right		0.9	
4029	wk_attack_2	1.1;1.7;1.8	0.31;0.74		LangRenDaoFa_Left|LangRenDaoFa_Right		0.81	
5001	xianglongzhang_qiaofeng	2	1.55		XiangLongShiBaZhang_Muzzle	XiangLongShiBaZhang_Hit_Left|XiangLongShiBaZhang_Hit_Right	3.05	
5002	qinlonggong	2	1.3	QinLongGong_GroundRingSmokeGE		QinLongGong_Left|QinLongGong_Right	1.03	
5003	rulaishenzhang_fangzhang	2	0.6		RuLaiShenZhang_Muzzle_Left_xkfs|RuLaiShenZhang_Muzzle_Right_xkfs	RuLaiShenZhang_bullet_Left|RuLaiShenZhang_bullet_Right	2.46	
5004	chanzhanggong	1.1;1.1;1.1;1.1	0.72		ChanZhangGong_Bullet_Left|ChanZhangGong_Bullet_Right	ChanZhangGong_Hit_Left|ChanZhangGong_Hit_Right	1.4	
5005	jiuyanggong	2	2.5		JiuYangGong_Left|JiuYangGong_Right	JiuYangGong_Hit_Left|JiuYangGong_Hit_Right	3.6	
5006	laoyuechanfa	2	1.77		LaoYueChanFa_Left|LaoYueChanFa_Right		0.57999999999999996	
5007	yijinjing_saodiseng	2	2.2000000000000002		YiJinJing_SaoDiSeng_Pre_Left|YiJinJing_SaoDiSeng_Pre_Right	YiJinJing_Hit_Left|YiJinJing_Hit_Right	3.1	
5008	jingangbuhuaishen	2	2				2.85	
5009	zuihuji	0.8	1.1000000000000001		ZuiHuJi		0.8	
5010	jiuhuolianji	2.35	0.3;1.7		JiuHuoLianJi	JiuHuoLianJi_Hit_Left|JiuHuoLianJi_Hit_Right	2.35	
5011	dagoubangfa_hongqi							
5012	lianhualuo							
5013	taijijianfa_zhangzhenren	1;2	0.37;1.35		TaiJiJianFa_ZZR_Left|TaiJiJianFa_ZZR_Right	TaiJiJianFa_Hit_ZZR_Left|TaiJiJianFa_Hit_ZZR_Right	1.95	
5014	taijiquan_zhangzhenren	0.8;0.6;0.6;1.2	0.2;0.95;1.65		TaiJiQuan_ZZR_Left|TaiJiQuan_ZZR_Right		2.65	
5015	taijijianfa_zangdaoren	0.4;0.9;0.9	0.75;1.66		TaiJiJianFa_ZDR_Left|TaiJiJianFa_ZDR_Right		3.1	
5016	taijiquan_zangdaoren	0.8;0.4;0.4	0.2;0.65;1.45		TaiJiQuan_ZDR_Left|TaiJiQuan_ZDR_Right		2.4500000000000002	
5017	yanling							
5018	qiankunyizhi							
5019	pugong	2	0.6;0.95;1.2			RuYiJianFa_Hit_Left|RuYiJianFa_Hit_Right	1.5	
5020	skill	2	0.65		MieJueJianFa_Left|MieJueJianFa_Left	MieJueJianFa_Hit_Left|MieJueJianFa_Hit_Right	1.58	
5021	xiuliqiankun							
5022	qingliannvshenjian_dubi							
5023	yujianshu_qiubujun							
5024	wanjianguizong							
5025	zixiazhang							
5026	ziqidonglai							
5027	dizangyin							
5028	yanluotie							
5029	qianzhuwandushou_hongyao							
5030	tianluozhuwang							
5031	jiaozhu1							
5032	jiaozhu2							
5033	jinwudao							
5034	huoquan							
5035	jianwu							
5036	huanyingjianwu							
5037	shenguangpuzhao							
5038	shenxiaoleifa							
5039	xiantong1							
5040	xiantong2							
5041	xuannv1							
5042	xuannv2							
9901	attack	1.5	0.4			Hit_Light_Left|Hit_Light_Right		
