ID	名称	类型	描述	品质	升级消耗,id|数量	加成	打造消耗,id|数量	出售价格（单价）	锻造时长，秒	图标名称
304	金蛇剑	Arms	手持金蛇剑，再配上金蛇剑法，便可独步武林，笑傲天下。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1		200;210;220;230;240;250;260;270;280	0	jinshejian
305	玄铁匕首	Arms	玄铁匕首乃玄铁重剑重铸而成，传世仅有数把，不可多得。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1		200;210;220;230;240;250;260;270;280	0	xuantiebishou
306	倚天剑	Arms	与屠龙刀齐名的绝世宝剑，锋利无比，无出其右。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.5;1.6;1.8;2;2.2;2.4;2.6;2.9;3.2		200;210;220;230;240;250;260;270;280	0	yitianjian
501	紫藤甲	Armor	紫藤甲轻且坚，能隔矢刃，然不敌火攻。穿上此甲，切记小心火烛。	Primary	3001|1;3001|2;3001|4;3002|1;3002|2;3002|4;3003|2;3003|4	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	1005|10	50;52;54;56;58;60;62;64;66	600	zitengjia
502	布甲	Armor	布甲这玩意儿吧，可能也就起个心理作用吧。	Primary	3001|1;3001|2;3001|4;3002|1;3002|2;3002|4;3003|2;3003|4	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5		50;52;54;56;58;60;62;64;66	0	bujia
601	银叶甲	Armor	银叶有韧性，质地轻薄，覆于布甲之上，可得银叶甲，刀枪莫入。	Intermediate	3001|2;3001|3;3001|5;3002|2;3002|3;3002|5;3003|3;3003|5	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	1005|15;1007|10	100;105;110;115;120;125;130;135;140	1200	yinyejia
602	冰蝉丝甲	Armor	东西是好东西，价格也不菲，就是防护作用有点拉跨。	Intermediate	3001|2;3001|3;3001|5;3002|2;3002|3;3002|5;3003|3;3003|5	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8		100;105;110;115;120;125;130;135;140	0	bingchansijia
603	虎皮甲	Armor	虎皮做铠甲，主要是威慑力大，敌人看了心里直哆嗦。	Intermediate	3001|2;3001|3;3001|5;3002|2;3002|3;3002|5;3003|3;3003|5	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8		100;105;110;115;120;125;130;135;140	0	hupijia
701	软猬甲	Armor	以金丝混合劲藤编织而成，不仅能防护身体，还能反伤袭击之人。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	1005|20;3101|10	200;210;220;230;240;250;260;270;280	1800	ruanweijia
702	明光铠	Armor	唐朝年间禁军统领所穿的铠甲，坚韧无比，只是有点重。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1		200;210;220;230;240;250;260;270;280	0	mingguangkai
703	龙鳞甲	Armor	这可是真正的稀世珍宝，人间不可多得，防御力顶级。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1		200;210;220;230;240;250;260;270;280	0	longlinjia
704	玄铁铠甲	Armor	由上古玄铁锻造而成，穿上此甲，一夫当关，万夫莫开。	Senior	3001|3;3001|4;3001|6;3002|3;3002|4;3002|6;3003|4;3003|6	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1		200;210;220;230;240;250;260;270;280	0	xuantiekaijia
